date,item_id,item_desc,qty_ordered,promo_flag,unit_price,warehouse_stock_on_hand,reorder_point,is_stockout
2024-01-01,2010048801,MASSIMO FINE WHOLEMEAL BREAD 400G,283,0,4.75,23814,6804,0
2024-01-01,1090092001,KACANG PARANG CILI,82,0,7.86,4459,1274,0
2024-01-01,1120003601,WYCCO171SSASSO/COOKIE CUTTER- 1SET,97,0,2.53,9310,2660,0
2024-01-01,2040011101,TWISTIES CHICKEN 60G,0,0,1.73,5390,1540,0
2024-01-01,2030437001,MINI OREO BIG POUCH CHOCO. 61.3G,0,0,5.81,2842,812,0
2024-01-01,2030052801,TIGER BISKUAT ENERGY 144.4G,135,0,2.61,2866,819,0
2024-01-01,2010039101,MASSIMO CORN CREAM ROLL 50GM*1,67,0,7.49,7448,2128,0
2024-01-01,2040012701,CHACHO'S CHEESY CHEESE 160G,0,0,3.45,3038,868,0
2024-01-01,2040230601,CHEEZELS BBQ CHEESE 60G *1,0,0,2.72,4214,1204,0
2024-01-01,2010006001,GARDENIA TWIGGIES CREAM DREAM 2x40G *1,0,0,5.46,6860,1960,0
2024-01-01,2010038801,MASSIMO SANDWICH WHEAT GERM 400GM*1,0,0,6.89,3381,966,0
2024-01-01,2041816301,TWISTIES BBQ CURRY 13G (24PKT),0,0,2.67,1837,525,0
2024-01-01,2040012101,CHEEZELS 60G *1,0,0,3.32,5096,1456,0
2024-01-01,2010040101,GARDENIA FINEGRAIN W/MEAL 400GM*1,0,0,3.6,2082,595,0
2024-01-01,2041880901,JACOB'S BAKED CRISP ORIGINAL 229G,0,0,6.74,2597,742,0
2024-01-01,2040272701,TWISTIES CHIPSTER HOT & SPICY 60G,50,0,3.93,2989,854,0
2024-01-01,2010036201,GARDENIA DELICIA CHOCO RAISIN 360G*1,0,0,2.52,3789,1082,0
2024-01-01,2031974101,OREO SPACEBURST CREAM L/E 9x27.6G,148,0,7.81,12152,3472,0
2024-01-01,2010040501,KELLOGG'S S'MORES 14.7 OZ*1,0,0,4.44,1829,522,0
2024-01-01,2010039001,MASSIMO CHOCO CREAM ROLL 50GM*1,112,0,6.61,9310,2660,0
2024-01-01,2030361801,TIGER BISKUAT ORIGINAL JUMBO 364.8GM,0,0,3.17,2744,784,0
2024-01-01,1090128501,FRUIT NETRON 14 (PCS),0,0,2.28,3691,1054,0
2024-01-01,2031923801,JACOB'S WEETAMEAL 502G,104,0,4.07,2352,672,0
2024-01-01,2010047701,MISSION TORTILLA 6 GRAINS WRAPS 360G,87,0,4.37,4214,1204,0
2024-01-01,2010038701,MASSIMO WHITE SANDWICH LOAF 600GM*1,0,0,5.78,3528,1008,0
2024-01-01,2010037801,GARDENIA WAFFLES EGG VANILLA 42GM*1,109,0,8.35,10192,2912,0
2024-01-01,2010040701,KELLOGG'S POP TART CHOCO FUDGE 13.5OZ,0,0,9.52,5488,1568,0
2024-01-01,2010038901,MASSIMO SANDWICH WHEAT GERM 600GM*1,0,0,6.78,5855,1673,0
2024-01-01,2030361901,TIGER BISKUAT CHOCOLATE JUMBO 364.8GM,0,0,2.99,3087,882,0
2024-01-01,2031659501,MINI OREO ORI. MULTIPACK 8X17.5G,0,0,2.75,4214,1204,0
2024-01-01,1080462101,MAMAMI ORGANIC WAVE OVERNIGHT OAT 120G,0,0,5.11,1208,345,0
2024-01-01,1090128701,FRUIT NETRON 14 (CTN),0,0,8.63,3626,1036,0
2024-01-01,2010035001,APOLLO LAYER CAKE VANILLA M/P 8X18G*1,0,0,5.53,3364,961,0
2024-01-01,2010039801,MISSION TORTILLA POTATO WRAPS 360GM*1,92,0,3.35,3462,989,0
2024-01-01,2031926001,CHIPSMORE DOUBLE CHOC MP 8x36G,0,0,2.91,6762,1932,0
2024-01-01,20250901001,GARDENIA DELICIA CHOCO RAISIN 360G*1,0,0,8.18,2058,588,0
2024-01-01,2031743501,JACOB'S VP WEETAMEAL 289G,112,0,2.04,5243,1498,0
2024-01-01,2031743801,JACOB'S MULTIPACK WEETAMEAL 144G,0,0,7.65,2474,707,0
2024-01-01,2040012001,TWISTIES BBQ CURRY 140G *1,0,0,4.59,1347,385,0
2024-01-01,2010039901,MASSIMO WHOLEMEAL 400GM*1,0,0,4.87,1421,406,0
2024-01-01,2010040201,GARDENIA 100% W/GRAIN PURPLE WHEAT 400GM,80,0,8.9,4557,1302,0
2024-01-01,80010002,PANADOL 10s,0,0,4.65,1764,504,0
2024-01-01,2010000401,GARDENIA CREAM ROLL-VANILA 50G *1,95,0,4.37,8428,2408,0
2024-01-01,1120000301,CN214-CB-PVC6SCAV(SQ)BROWN CASE-10PCS,0,0,7.84,2303,658,0
2024-01-01,2030211001,KRAFT OREO STRAWBERRY 110.4G *1,90,0,7.38,4753,1358,0
2024-01-01,70010001,Micro USB,0,0,2.96,4851,1386,0
2024-01-01,1120001501,BOOKS(IMP)CONE FIGURES- 1PC,0,0,8.09,2907,830,0
2024-01-01,1110029901,AJI-SHIO PEPPER (45GM),0,0,8.17,4116,1176,0
2024-01-01,2031800401,CHIPSMORE HAZELNUT HANDY MP 8x24G,0,0,5.38,4606,1316,0
